,,,,-DORDOGNE,,,
8125,24,24088,24150,Cause-de-Clérans,cause de clerans,44.874115337838,0.67041006756757
8126,24,24089,24370,Cazoulès,cazoules,44.883642096774,1.4250582258064
8127,24,24090,24600,Celles,celles,45.287381300448,0.41003394618834
8128,24,24091,24250,Cénac-et-Saint-Julien,cenac et saint julien,44.790251208791,1.1982378021978
8129,24,24094,24380,Chalagnac,chalagnac,45.09150161017,0.68311296610169
8130,24,24095,24800,Chalais,chalais,45.500687425373,0.93763014925373
8131,24,24096,24530,Champagnac-de-Belair,champagnac de belair,45.402053037383,0.69497939252336
8132,24,24097,24320,Champagne-et-Fontaine,champagne et fontaine,45.430480176471,0.332869
8133,24,24098,24750,Champcevinel,champcevinel,45.213105675676,0.72303932432432
8134,24,24100,24360,Champniers-et-Reilhac,champniers et reilhac,45.676930837004,0.71534303964758
8135,24,24101,24470,Champs-Romain,champs romain,45.535815,0.77400903409091
8136,24,24102,24650,Chancelade,chancelade,45.212645890411,0.65723369863014
8137,24,24104,24190,Chantérac,chanterac,45.165917952756,0.44433751968504
8138,24,24105,24320,Chapdeuil,chapdeuil,45.344337659574,0.46645382978723
8139,24,24106,24290,La Chapelle-Aubareil,la chapelle aubareil,45.003254111675,1.1905900507614
8140,24,24107,24530,La Chapelle-Faucher,la chapelle faucher,45.37216190184,0.76192509202454
8141,24,24108,24350,La Chapelle-Gonaguet,la chapelle gonaguet,45.230354868421,0.6207147368421
8142,24,24109,24320,La Chapelle-Grésignac,la chapelle gresignac,45.392201647059,0.33957094117647
8143,24,24110,24320,La Chapelle-Montabourlet,la chapelle montabourlet,45.391180769231,0.45363043956044
8144,24,24111,24300,La Chapelle-Montmoreau,la chapelle montmoreau,45.447422345679,0.64274419753086
8145,24,24113,24390,La Chapelle-Saint-Jean,la chapelle saint jean,45.195258125,1.1621035416667
8146,24,24114,24600,Chassaignes,chassaignes,45.250650638298,0.2501364893617
8147,24,24115,24460,Château-l'Évêque,chateau l eveque,45.260765519126,0.6781318579235
8148,24,24116,24120,Châtres,chatres,45.187787191781,1.1949276027397
8149,24,24117,24120,Les Coteaux Périgourdins,les coteaux perigourdins,45.092653127962,1.3704085781991
8150,24,24119,24320,Cherval,cherval,45.390320902256,0.38518180451128
8151,24,24120,24390,Cherveix-Cubas,cherveix cubas,45.286521085714,1.1126593714286
8152,24,24121,24640,Chourgnac,chourgnac,45.233926973684,1.0528523684211
8153,24,24122,24170,Cladech,cladech,44.806838314607,1.0769311235955
8154,24,24123,24140,Clermont-de-Beauregard,clermont de beauregard,44.947364766355,0.64441018691589
8155,24,24124,24160,Clermont-d'Excideuil,clermont d excideuil,45.361782916667,1.0430473958333
8156,24,24126,24560,Colombier,colombier,44.7839379,0.517301
8157,24,24127,24120,Coly,coly,45.086265727273,1.2684916363636
8158,24,24128,24600,Comberanche-et-Épeluche,comberanche et epeluche,45.275324761905,0.28354273809524
8159,24,24129,24530,Condat-sur-Trincou,condat sur trincou,45.36835081761,0.71685855345912
8160,24,24130,24570,Condat-sur-Vézère,condat sur vezere,45.105588292683,1.2342175609756
8161,24,24131,24300,Connezac,connezac,45.5112088,0.529643
8162,24,24132,24560,Conne-de-Labarde,conne de labarde,44.780059871795,0.55661038461538
8163,24,24133,24450,La Coquille,la coquille,45.546548918919,0.9702063963964
8164,24,24134,24800,Corgnac-sur-l'Isle,corgnac sur l isle,45.37646759434,0.95594801886792
8165,24,24135,24750,Cornille,cornille,45.246739358974,0.7765558974359
8166,24,24136,24390,Coubjours,coubjours,45.245838,1.2513701176471
8167,24,24137,24420,Coulaures,coulaures,45.302248584906,0.97081778301887
8168,24,24138,24660,Coulounieix-Chamiers,coulounieix chamiers,45.164529035088,0.68868675438597
8169,24,24139,24430,Coursac,coursac,45.126287214286,0.64113785714286
8170,24,24140,24520,Cours-de-Pile,cours de pile,44.830972636364,0.55579063636364
8171,24,24141,24320,Coutures,coutures,45.326156218487,0.39219277310924
8172,24,24142,24220,Coux et Bigaroque-Mouzens,coux et bigaroque mouzens,44.8544712,0.97214288
8173,24,24143,24150,Couze-et-Saint-Front,couze et saint front,44.822772475248,0.72107683168317
8174,24,24144,24350,Creyssac,creyssac,45.312818252427,0.5487967961165
8175,24,24145,24100,Creysse,creysse,44.868335714286,0.54907
8176,24,24146,24380,Creyssensac-et-Pissot,creyssensac et pissot,45.070697956989,0.66593978494624
8177,24,24147,24640,Cubjac-Auvézère-Val d'Ans,cubjac auvezere val d ans,45.229894633205,0.96058235521236
8178,24,24148,24240,Cunèges,cuneges,44.785824814815,0.3746124691358
8179,24,24150,24250,Daglan,daglan,44.74635062069,1.1880305517241
8180,24,24151,24170,Doissat,doissat,44.723963225806,1.0832797419355
8181,24,24152,24250,Domme,domme,44.806664108527,1.2464241085271
8182,24,24153,24120,La Dornac,la dornac,45.075967226277,1.3419564963504
8183,24,24154,24350,Douchapt,douchapt,45.236614444444,0.444573
8184,24,24155,24140,Douville,douville,44.998462280702,0.59313245614035
8185,24,24156,24330,La Douze,la douze,45.071440484848,0.86246181818182
8186,24,24157,24190,Douzillac,douzillac,45.094373552632,0.39810684210526
8187,24,24158,24270,Dussac,dussac,45.395097342342,1.0774515315315
8188,24,24159,24410,Échourgnac,echourgnac,45.138341346801,0.21961232323232
8189,24,24160,24380,Église-Neuve-de-Vergt,eglise neuve de vergt,45.089919342105,0.73002986842105
8190,24,24161,24400,Église-Neuve-d'Issac,eglise neuve d issac,44.977253448276,0.43125634482759
8191,24,24162,24420,Escoire,escoire,45.205933783784,0.84862945945946
8192,24,24163,24360,Étouars,etouars,45.611285050505,0.61384282828283
8193,24,24164,24160,Excideuil,excideuil,45.330539324324,1.0591532432432
8194,24,24165,24700,Eygurande-et-Gardedeuil,eygurande et gardedeuil,45.072295,0.12310496753247
8195,24,24167,24500,Eymet,eymet,44.673957166124,0.38374762214984
8196,24,24168,24560,Plaisance,plaisance,44.694911428571,0.55374802521008
8197,24,24170,24460,Eyvirat,eyvirat,45.329265496689,0.73917953642384
8198,24,24171,24800,Eyzerac,eyzerac,45.390279459459,0.90625810810811
8199,24,24172,24620,Les Eyzies-de-Tayac-Sireuil,les eyzies de tayac sireuil,44.935277026144,1.0432103594771
8200,24,24174,24290,Fanlac,fanlac,45.067661842105,1.096293881579
8201,24,24175,24290,Les Farges,les farges,45.116325357143,1.1873723214286
8202,24,24176,24560,Faurilles,faurilles,44.704428314607,0.68601831460674
8203,24,24177,24560,Faux,faux,44.787126202532,0.64752132911392
8204,24,24179,24120,La Feuillade,la feuillade,45.1152483,1.3964112
