,,,,-MORBIHAN,,,
21103,56,56089,56240,Inguiniel,inguiniel,47.956048685969,-3.2642734075724
21104,56,56090,56650,Inzinzac-Lochrist,inzinzac lochrist,47.861102552083,-3.2622197395833
21105,56,56091,56120,Josselin,josselin,47.956118411215,-2.5529863551402
21106,56,56092,56920,Kerfourn,kerfourn,48.043481105991,-2.8443335483871
21107,56,56093,56300,Kergrist,kergrist,48.150916564886,-2.9352761450382
21108,56,56094,56700,Kervignac,kervignac,47.768898327402,-3.2469931672598
21109,56,56096,56690,Landaul,landaul,47.745201513761,-3.0958676146789
21110,56,56097,56690,Landévant,landevant,47.76860872549,-3.1157118627451
21111,56,56098,56600,Lanester,lanester,47.771072009346,-3.3201161214953
21112,56,56099,56160,Langoëlan,langoelan,48.116506025641,-3.2310258205128
21113,56,56100,56630,Langonnet,langonnet,48.127125033333,-3.48990955
21114,56,56101,56440,Languidic,languidic,47.823307663551,-3.1397347196262
21115,56,56102,56120,Lanouée,lanouee,47.986004705882,-2.5789628373702
21116,56,56103,56120,Lantillac,lantillac,47.954275159574,-2.6564680851064
21117,56,56104,56240,Lanvaudan,lanvaudan,47.890419050132,-3.2461548548813
21118,56,56105,56320,Lanvénégen,lanvenegen,48.000726291209,-3.5433501098901
21119,56,56106,56870,Larmor-Baden,larmor baden,47.584974166667,-2.8988832291667
21120,56,56107,56260,Larmor-Plage,larmor plage,47.714467716535,-3.3891111811024
21121,56,56108,56230,Larré,larre,47.718336,-2.4869071333333
21122,56,56109,56190,Lauzach,lauzach,47.612724262295,-2.554241147541
21123,56,56110,56160,Lignol,lignol,48.030033597122,-3.2684503597122
21124,56,56111,56220,Limerzel,limerzel,47.633502967033,-2.3578503846154
21125,56,56112,56460,Lizio,lizio,47.861806717557,-2.5228187022901
21126,56,56113,56160,Locmalo,locmalo,48.063863333333,-3.1894449758454
21127,56,56114,56360,Locmaria,locmaria,47.298685322581,-3.1083680645161
