id,department_code,insee_code,zip_code,-SEINE-MARITIME,slug,gps_lat,gps_lng
30086,76,76183,76400,Colleville,colleville,49.751549924812,0.45376842105263
30087,76,76184,76550,Colmesnil-Manneville,colmesnil manneville,49.848099545455,1.0274059090909
30088,76,76185,76440,Compainville,compainville,49.660502025316,1.5662808860759
30089,76,76186,76390,Conteville,conteville,49.69788407767,1.6319287378641
30090,76,76187,76400,Contremoulins,contremoulins,49.725385714286,0.43396
30091,76,76188,76850,Cottévrard,cottevrard,49.637809137931,1.2257925862069
30092,76,76189,76450,Crasville-la-Mallet,crasville la mallet,49.806467560976,0.71342585365854
30093,76,76190,76740,Crasville-la-Rocquefort,crasville la rocquefort,49.802210666667,0.8720755
30094,76,76191,76720,Cressy,cressy,49.722818627451,1.1665158823529
30095,76,76192,76910,Criel-sur-Mer,criel sur mer,50.016435985915,1.3223107042253
30096,76,76193,76850,La Crique,la crique,49.69589172043,1.2074730107527
30097,76,76194,76111,Criquebeuf-en-Caux,criquebeuf en caux,49.7383822,0.3349404
30098,76,76195,76540,Criquetot-le-Mauconduit,criquetot le mauconduit,49.789864390244,0.55952756097561
30099,76,76196,76280,Criquetot-l'Esneval,criquetot l esneval,49.638097066667,0.2613632
30100,76,76197,76590,Criquetot-sur-Longueville,criquetot sur longueville,49.786776779661,1.0749972881356
30101,76,76198,76760,Criquetot-sur-Ouville,criquetot sur ouville,49.672445769231,0.84757217948718
30102,76,76199,76390,Criquiers,criquiers,49.683305785124,1.7076455371901
30103,76,76200,76680,Critot,critot,49.615394090909,1.2443381818182
30104,76,76201,76780,Croisy-sur-Andelle,croisy sur andelle,49.459772387097,1.405566516129
30105,76,76202,76660,Croixdalle,croixdalle,49.801615897436,1.3751242307692
30106,76,76203,76190,Croix-Mare,croix mare,49.59817128,0.82804824
30107,76,76204,76720,Cropus,cropus,49.735239433962,1.1441275471698
30108,76,76205,76590,Crosville-sur-Scie,crosville sur scie,49.820996567164,1.0880292537313
30109,76,76206,76280,Cuverville,cuverville,49.666242037037,0.264065
30110,76,76207,76260,Cuverville-sur-Yères,cuverville sur yeres,49.957152680412,1.3908606185567
30111,76,76208,76220,Cuy-Saint-Fiacre,cuy saint fiacre,49.508810728477,1.6971630463576
30112,76,76209,76220,Dampierre-en-Bray,dampierre en bray,49.539079219858,1.6747596453901
30113,76,76210,76510,Dampierre-Saint-Nicolas,dampierre saint nicolas,49.856953166667,1.2052513333333
30114,76,76211,76340,Dancourt,dancourt,49.89310107438,1.5339412396694
30115,76,76212,76160,Darnétal,darnetal,49.443906702128,1.1528718085106
30116,76,76213,76110,Daubeuf-Serville,daubeuf serville,49.691512658228,0.47931063291139
30117,76,76214,76590,Dénestanville,denestanville,49.808048679245,1.0911862264151
30118,76,76216,76250,Déville-lès-Rouen,deville les rouen,49.466160491803,1.0477134426229
30119,76,76217,76200,Dieppe,dieppe,49.922992,1.077483
30120,76,76217,76370,Dieppe,dieppe,49.922992,1.077483
30121,76,76218,76220,Doudeauville,doudeauville,49.567322352941,1.6962637254902
30122,76,76219,76560,Doudeville,doudeville,49.732810656934,0.78643883211679
30123,76,76220,76630,Douvrend,douvrend,49.869617650602,1.3165684939759
30124,76,76221,76460,Drosay,drosay,49.79315362069,0.73789413793103
30125,76,76222,76480,Duclair,duclair,49.488356666667,0.86724224489796
30126,76,76223,76190,Écalles-Alix,ecalles alix,49.614085420561,0.81220392523364
30127,76,76224,76110,Écrainville,ecrainville,49.649565,0.31463462264151
30128,76,76225,76190,Écretteville-lès-Baons,ecretteville les baons,49.630639647059,0.67148282352941
30129,76,76226,76540,Écretteville-sur-Mer,ecretteville sur mer,49.791676578947,0.48619921052632
30130,76,76227,76760,Ectot-l'Auber,ectot l auber,49.65546326087,0.92941739130435
30131,76,76228,76970,Ectot-lès-Baons,ectot les baons,49.641580727273,0.81112054545455
30132,76,76229,76220,Elbeuf-en-Bray,elbeuf en bray,49.49288448718,1.6535616666667
30133,76,76230,76780,Elbeuf-sur-Andelle,elbeuf sur andelle,49.476234196429,1.388124375
30134,76,76231,76500,Elbeuf,elbeuf,49.273243093525,0.99266438848921
30135,76,76232,76540,Életot,eletot,49.78922051948,0.45577675324675
30136,76,76233,76390,Ellecourt,ellecourt,49.800735081967,1.7341520491803
30137,76,76234,76570,Émanville,emanville,49.622794521739,0.96089739130435
30138,76,76235,76630,Envermeu,envermeu,49.898181797753,1.2597466853933
30139,76,76236,76640,Envronville,envronville,49.659474385965,0.67339649122807
30140,76,76237,76480,Épinay-sur-Duclair,epinay sur duclair,49.528943050847,0.83133559322034
30141,76,76238,76133,Épouville,epouville,49.562686760563,0.22926
30142,76,76239,76430,Épretot,epretot,49.539496153846,0.31430525641026
30143,76,76240,76400,Épreville,epreville,49.702776575342,0.36614123287671
30144,76,76241,76740,Ermenouville,ermenouville,49.802818235294,0.78054911764706
30145,76,76242,76220,Ernemont-la-Villette,ernemont la villette,49.452923333333,1.7154001801802
30146,76,76243,76750,Ernemont-sur-Buchy,ernemont sur buchy,49.540825490196,1.3623750980392
30147,76,76244,76270,Esclavelles,esclavelles,49.707304565217,1.3923688405797
30148,76,76245,76710,Eslettes,eslettes,49.546401710526,1.0462777631579
30149,76,76247,76690,Esteville,esteville,49.608194090909,1.2152836363636
30150,76,76249,76850,Étaimpuis,etaimpuis,49.640485301205,1.1448109638554
30151,76,76250,76430,Étainhus,etainhus,49.566893488372,0.30710093023256
30152,76,76251,76560,Étalleville,etalleville,49.731117971014,0.8254731884058
30153,76,76252,76260,Étalondes,etalondes,50.032910652174,1.3893613043478
30154,76,76253,76190,Étoutteville,etoutteville,49.671837128713,0.7799203960396
30155,76,76254,76790,Étretat,etretat,49.70569345679,0.20159234567901
30156,76,76255,76260,Eu,eu,50.041369248826,1.4309267605634
30157,76,76257,76340,Fallencourt,fallencourt,49.861322828283,1.5604945454546
30158,76,76258,76640,Terres-de-Caux,terres de caux,49.65054484375,0.59217166666667
30159,76,76259,76400,Fécamp,fecamp,49.750598963964,0.4006472972973
30160,76,76260,76220,Ferrières-en-Bray,ferrieres en bray,49.4869006639,1.7540347302905
30161,76,76261,76440,La Ferté-Saint-Samson,la ferte saint samson,49.574239848485,1.5344336363636
30162,76,76262,76270,Fesques,fesques,49.788490967742,1.4891324193548
30163,76,76263,76220,La Feuillie,la feuillie,49.472630588235,1.5065959752322
30164,76,76264,76970,Flamanville,flamanville,49.631323793103,0.83081103448276
30165,76,76265,76270,Flamets-Frétils,flamets fretils,49.731565730337,1.5866816853933
